TYPE,NAME,LOCI,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST
cov,lipson2020_fig5a,10,treemix,70,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,71,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,72,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,73,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,74,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,75,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,76,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,77,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,78,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,79,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,7,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,80,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,81,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,82,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,83,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,84,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,85,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,86,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,87,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,88,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,89,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,8,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,90,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,91,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,92,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,93,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,94,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,95,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,96,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,97,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,98,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,99,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix,9,108.024218316,109.086948624,4
cov,lipson2020_fig5a,10,treemix-mlno,100,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,101,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,102,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,103,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,104,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,105,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,106,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,107,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,108,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,109,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,10,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,110,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,111,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,112,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,113,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,114,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,115,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,116,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,117,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,118,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,119,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,11,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,120,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,12,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,13,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,14,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,15,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,16,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,17,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,18,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,19,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,1,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,20,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,21,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,22,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,23,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,24,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,25,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,26,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,27,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,28,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,29,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,2,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,30,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,31,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,32,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,33,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,34,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,35,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,36,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,37,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,38,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,39,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,3,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,40,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,41,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,42,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,43,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,44,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,45,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,46,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,47,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,48,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,49,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,4,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,50,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,51,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,52,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,53,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,54,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,55,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,56,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,57,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,58,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,59,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,5,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,60,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,61,108.024218316,109.086948474,4
cov,lipson2020_fig5a,10,treemix-mlno,62,108.024218316,109.086948474,4
