NAME,MTHD,ORDR,LLIK_TREE,LLIK_NMIG,DIST,TIME
wu2020_fig7a,treemix-allmigs,33,-331709.513293,-2882.92555691,20,0:07.77
wu2020_fig7a,treemix-allmigs,34,-331709.513293,-2882.92555691,20,0:08.02
wu2020_fig7a,treemix-allmigs,35,-331709.513293,-2882.92670836,20,0:07.76
wu2020_fig7a,treemix-allmigs,36,-331709.513293,-2882.92670836,20,0:07.82
wu2020_fig7a,treemix-allmigs,37,-331709.513293,-2882.92670836,20,0:07.95
wu2020_fig7a,treemix-allmigs,38,-331709.513293,-2882.92555691,20,0:07.89
wu2020_fig7a,treemix-allmigs,39,-331709.513293,-2882.92555691,20,0:07.79
wu2020_fig7a,treemix-allmigs,3,-331709.513293,-2882.92670836,20,0:08.34
wu2020_fig7a,treemix-allmigs,40,-331709.513293,-2882.92670836,20,0:07.86
wu2020_fig7a,treemix-allmigs,41,-331709.513293,-2882.92555691,20,0:07.90
wu2020_fig7a,treemix-allmigs,42,-331709.513293,-2882.92555691,20,0:07.98
wu2020_fig7a,treemix-allmigs,43,-331709.513293,-2882.92555691,20,0:08.03
wu2020_fig7a,treemix-allmigs,44,-331709.513293,-2882.92555691,20,0:08.18
wu2020_fig7a,treemix-allmigs,45,-331709.513293,-2882.92555691,20,0:08.08
wu2020_fig7a,treemix-allmigs,46,-331709.513293,-2882.92670836,20,0:07.98
wu2020_fig7a,treemix-allmigs,47,-331709.513293,-2882.92670836,20,0:08.53
wu2020_fig7a,treemix-allmigs,48,-331709.513293,-2882.92555691,20,0:08.56
wu2020_fig7a,treemix-allmigs,49,-331709.513293,-2882.92555691,20,0:08.42
wu2020_fig7a,treemix-allmigs,4,-331709.513293,-2882.92670836,20,0:08.41
wu2020_fig7a,treemix-allmigs,50,-331709.513293,-2882.92555691,20,0:08.07
wu2020_fig7a,treemix-allmigs,51,-331709.513293,-2882.92670836,20,0:08.01
wu2020_fig7a,treemix-allmigs,52,-331709.513293,-2882.92555691,20,0:08.18
wu2020_fig7a,treemix-allmigs,53,-331709.513293,-2882.92670836,20,0:07.95
wu2020_fig7a,treemix-allmigs,54,-331709.513293,-2882.92555691,20,0:07.89
wu2020_fig7a,treemix-allmigs,55,-331709.513293,-2882.92555691,20,0:07.88
wu2020_fig7a,treemix-allmigs,56,-331709.513293,-2882.92670836,20,0:07.78
wu2020_fig7a,treemix-allmigs,57,-331709.513293,-2882.92555691,20,0:07.86
wu2020_fig7a,treemix-allmigs,58,-331709.513293,-2882.92670836,20,0:07.93
wu2020_fig7a,treemix-allmigs,59,-331709.513293,-2882.92670836,20,0:07.75
wu2020_fig7a,treemix-allmigs,5,-331709.513293,-2882.92670836,20,0:08.25
