Outgroup,A,B,f3
Altai,ANE,ANE,896
Altai,ANE,Dai,672
Altai,ANE,Karitiana,702
Altai,ANE,Mbuti,517
Altai,ANE,Onge,672
Altai,Dai,Dai,735
Altai,Dai,Karitiana,707.25
Altai,Dai,Mbuti,517
Altai,Dai,Onge,692
Altai,Karitiana,Karitiana,839.8125
Altai,Karitiana,Mbuti,517
Altai,Karitiana,Onge,687
Altai,Mbuti,Mbuti,553
Altai,Mbuti,Onge,517
Altai,Onge,Onge,788
