Outgroup,A,B,f3
Mbuti,Karitiana,Karitiana,372.4644
Mbuti,Karitiana,LBK_EN,205.2472
Mbuti,Karitiana,Loschbour,219.36
Mbuti,Karitiana,MA1,240.81
Mbuti,Karitiana,Onge,222.81
Mbuti,LBK_EN,LBK_EN,295.7931
Mbuti,LBK_EN,Loschbour,237.31
Mbuti,LBK_EN,MA1,216.52
Mbuti,LBK_EN,Onge,198.04
Mbuti,Loschbour,Loschbour,344
Mbuti,Loschbour,MA1,234
Mbuti,Loschbour,Onge,210
Mbuti,MA1,MA1,676
Mbuti,MA1,Onge,210
Mbuti,Onge,Onge,320
